Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	várra 	sáhttá earáhuvvat . ¶
Jus eat livčče sirdit mearkka vulosguvlui , de guovllu 25:s illá livččii bivdoguovlu oarjjabeal-deanu , ja dat 	várra 	livččii menddo vuoigatmeahttun , čilge Rollstad . ¶
Ii 	várra 	nu imaš , go geaidnoguoras lei gánddaš čuččodeamen gávttiin , skuvllalávka vel sealggis . ¶
– Na 	várra 	muhtin logi geardde guittot , reaškilit earát ja masá bilkidit go gávtti lea heivehan nuolastit moatte háve . ¶
Juste dása lei 	várra 	NRK Sámi Radio boares rieban Johs. Kalvemo buorre mielas . ¶
NRK journalista Jakob Arvola maid dajai juoidá mii 	várra 	sáhttá bures govvedit dan stuorra juornalistalaš ovddasvástádusa . ¶
– Otne 	várra 	ii leat nu somá leat eret Deanus , ja mii journalisttat fertet váldit olu dasa siva , dajai son čujuhettiin ahte várra lea leamaš menddo olu negatiiva media beroštupmi gildii . ¶
– Otne várra ii leat nu somá leat eret Deanus , ja mii journalisttat fertet váldit olu dasa siva , dajai son čujuhettiin ahte 	várra 	lea leamaš menddo olu negatiiva media beroštupmi gildii . ¶
– Ovdal lea 	várra 	leamaš bázahus mii máŋgii lea golgaduvvon njuolgga eatnamii . ¶
Dál jorrá vara lihterhaddi sullii 20 márkkis , ja jos fuobmá man ollu 	várra 	manna duššás , de lea dat stuorra ruhtagáldun bierggu lassin , čilge Nieminen bohccovara vejolašvuođaid . ¶
Eai leat 	várra 	hárjánan oaidnit čuvges nuorra nieiddaid . ¶
– Olu šattut , eallit , divrrit ja vaikko vel min 	várra 	dolvojuvvojit olgoriikkaide . ¶
– Olmmái ii roasmmahuvvan ja sus váldui 	várra 	mii čájeha man gárremin son lei . ¶
Dán mii fertet dás deattuhit , danne go dát 	várra 	ii boahtán doarvái bures ovdan bihtás . ¶
Ráfišiehtadus gaskal ráđđehusa ja gerilja 1997 juovlamánus , bissehii dán guhkes ja 	várra 	riikkavulošsoađi . ¶
Porsáŋggu álbmotbeaivvi doaluin váilo 	várra 	 ¶
Galmmihanskábe billašuvai ja 	várra 	suvrrui , ja jus várra ii leat fidnemis ovdal álbmotbeaivvi , eai šatta álbmotbeaivvi gumposmállásat . ¶
Galmmihanskábe billašuvai ja várra suvrrui , ja jus 	várra 	ii leat fidnemis ovdal álbmotbeaivvi , eai šatta álbmotbeaivvi gumposmállásat . ¶
Su várrasuonaid mielde golgá sihke indiána , dánskka ja sámi 	várra 	. ¶
	Várra 	dalle maid gávdnet sivaid manne bargit eai biso teáhteris ? ¶
Liikká lea otná sámi servodagas dat politihkka ain oalle eallinaga bissumin , muhto lea 	várra 	váttis dan garvit go juo leat nu jur eallime oarjemáilmmi servvodaga alde . ¶
	Várra 	dalle maid gávdnet sivaid manne bargit eai biso teáhteris ? ¶
Liikká lea otná sámi servodagas dat politihkka ain oalle eallinaga bissumin , muhto lea 	várra 	váttis dan garvit go juo leat nu jur eallime oarjemáilmmi servvodaga alde . ¶
Meksiko presideanta , Zedillo , ja su guatemalalaš bargoskibir , Arzu , leaba dál loahpaheamen barggu máhcahit dan 45 duhát olbmo , geat Guatemala 	várra 	, siskkáldas riiddus báhtaredje . ¶
IPS-Johannesburg:Oarjemáilmmi bombedettiin Jugoslavia , leat 	várra 	tragediijat ollu stuorát Afrihkás - almmá máilmmi beroškeahttá . ¶
Olbmo sahen , rumaš oaivvi haga ja 	várra 	lea dušše oassi das maid beasat oaidnit go magihkkár Carl deRome ja su veahkki Merete lágideaba illušuvdnašovva sihke Guovdageainnus ja Kárášjogas dán vahkkoloahpa . ¶
Carl deRome čuohppá šovvas veahki Merete gieđa nu ahte 	várra 	vel cirgu . ¶
Muhto 	várra 	ja čuohpadeapmi ii leat dieđus albma . ¶
– 	Várra 	jáhkii ahte mun lea gilvaleaddji sus . ¶
Guhppema birra čállá čuovvovačča : Jos lei oaivebávččas , de sáhtii muhtuma oažžut guhppet dakko oaivvis gokko bávččastii , dassá go 	várra 	čoagganii liikki vuollái . ¶
– Jurddaš man buorit scenat sáhttet šaddat ; ollu 	várra 	ja doarrun , erenoamážit Mons Somby ja Aslak Jacobsen Hætta steavlideamis , muitala son Finansavisenii . ¶
Wayne Anthoney manus lea earálágán go klassihkkalaš Macbeth , ii leat unnit 	várra 	gal , muhto lea mihá suohttaseabbo . ¶
Lemet Ivar vuordimis loahpaloahpalaččat jienasta šiehtadussii mii lea juo dohkkehuvvon Bargiidbellodagas , nu ahte dat 	várra 	ii šatta nu stuora ášši . ¶
–<\q>Mu norgga 	várra 	duoldá , ja mu sámi váibmu čierru ! ¶
Buot 	várra 	Norggas iskojuvvo ovdalgo eará olmmoš oažžu dan . ¶
Selma erenoamaš dolggis ii leat velá namma , muhto 	várra 	son dasa hutká heivvolaš nama . ¶
Leai gal Derek Miller čeahppi liikadit lávddi alde musihka mielde , ja 	várra 	soames Sáminieiddda váimmu coakkigohte , go olmmái leai duođaid ¶
Beana galgá guorrat uhccimus 600 mehtera várraluotta masa lea golbma desilihttera 	várra 	geavahuvvon , dát galgá leat unnuimusat 12 diimmu boaris . ¶
Guovtti sajes galgá oasáš sullii logi mehtar gaska gosa ii leat biddjon 	várra 	. ¶
Muhto 	várra 	buohkat eai dihttán ahte Intrige ja Kai Sombys leat ná garra vuoibmi ja fápmu miellalági addit olbmuide . ¶
Meahcis son vuoššá ja bassá bierggu , son maid márfu ja gumposta , go ealgga 	várra 	lea hui buoidi ja heivvolaš dasa . ¶
Sámis 	várra 	gávdnojit dáiddálaš girječállit , muhto sii eai dihtto , logai Kendzior . ¶
Olbmot duođaid elle , ja áinnas boarraset gearddi 	várra 	lihkadišgođii . ¶
Imaštallet gal 	várra 	ollusat ahte dien mađe ahkásaš olmmái dego Per Tor Turi(47 ) justa liiko technojuoigán mállii . ¶
– Lean dolkan vuordimis ipmašiid , danin ferte ođđa 	várra 	boahtit sáme politihkkii , beaškala nuorra Sámi politihkkár Čáhcesullos Sara Anne Sveen Smuk ( 19 ) . ¶
Muhto mii eat gula goassige , gos bat dážat leat boahtán , ja 	várra 	eat dieđe dan ge , soitet Indias , árvaledje Totlteáter , ja teáhtertealta ucces ii gáhččan . ¶
Ollu olbmuide Riddu Riđđu festválas leai 	várra 	justa Transejoik ja Frode Fjellheim musihkka mii gájui vuordámušaid . ¶
« a nubbinjođiheaddji Áile Jávo vuosttilda dan árvalusa ahte sis geat áigot miellahttun NSR:ii , ferte leat sámi 	várra 	suonain . ¶
	Várra 	golgan čeargga čađa gitta eatnamii . ¶
Vuolábealde goabmabávtti lea roggi mas sáhttá oaidnit soames 	várra 	dielkku . ¶
Dalle duldii 	várra 	, lohká Karen Marit Utsi gii ii loga goasse oaidnán nu ollu olbmuid gárdde luhtte . ¶
Gieskat geavai dat mii 	várra 	lea leamaš dat stuorámus su spábbačiekčankarrieras dán rádjái . ¶
Dál leat mohtorsearvvi miellahtut dorvvastan Lotto-kupoŋgaide jus dette ieža nágodit háhkat iežaset tihppenruđaid , ja dan ožžot sii 	várra 	joatkit dahkat dasgo ii leat sihkar bođeš go gielddas sidjiide ruhta . ¶
Máze SS vuhttui váiban maŋŋá semifinála , ja dat lei 	várra 	okta sivva dasa go Gironvári Lunttat besset stoahkat Máze gánddaiguin . ¶
– Dán 827 kilomehteris ražaimet nu ahte 	várra 	, bivastat ja gátnjalat golge . ¶
Sii leat Ken Neptuna fuolkkit , ja dát lea vuosttaš lávki gávdnat olbmo gean 	várra 	heivešii sutnje . ¶
Kenas lea sámi 	várra 	. ¶
Dás maŋas ferte dus leat rievttes 	várra 	jus áiggut mielde NSR . ¶
mu norgga 	várra 	duoldá , - ja mu sámi váibmu čierru . ¶
Maŋemus Min Áiggis almmustahtiimet ahte NSR lea veardideame árvalusa ahte ii oktaga eará go sii geain lea sámi 	várra 	suonain , sáhte šaddat ollislaš miellahttun norgga stuorimus sámi organisašuvnnas . ¶
– Go logan árvalusa , de mu norgga 	várra 	duoldá , - ja mu sámi váibmu čierru . ¶
Šlurfi lea 	várra 	eanemus filbmejuvvon beana ja Meahcce Vulle gal lohpida ahte Šlurffis gal leat maŋisboahttit . ¶
GOVVA 	VARRA 	BEAVDDIS SIIDU 11 ¶
Jus náđđu , de 	várra 	jápmasa ja dalle dat gal i leat šat gudda masage . ¶
– Ledje čiekŋalis mearkkat muvraseinniin vuoksáid čorvviid maŋis , ja lei goikan 	várra 	juohke sajis . ¶
	VARRA 	: A2-sorttat várra ii leat nu dábálaš , muhto sápmelaččaid gaskkas lea dat oalle dábálaš . ¶
VARRA : A2-sorttat 	várra 	ii leat nu dábálaš , muhto sápmelaččaid gaskkas lea dat oalle dábálaš . ¶
– Váldosivva manne attán vara , leago dáinna lágiin sáhtán veahkehit earáid mat dárbbašit vara , lohká nieida geas lea oalle hárvvis 	várra 	, namalassii B+ . ¶
Badjel 15 jagi leat suohkanat ožžon giellaruđaid , ja dál lea 	várra 	áigi geahččagoahtit mo ruđaid buoremus sáhttá geavahit . ¶
Sivva dasa lea 	várra 	go oassi min visttiin bulle 1988:s . ¶
– Media lea olu mu čájehan , ja 	várra 	danne jáhkket olbmot ahte mun dat lean gii ovddastan buot áššiid . ¶
	Várra 	leige danne son ja su ustibat álggahedje ge Márkomeanuid . ¶
Sii geat eai diehtán son vuostálastá Finnmárkkolága jáhkke 	várra 	son lea manahan moarsi . ¶
- Viehkkangilvvuin lea nu daddjun njoammil mii doalaha leavttu , muhtu vuodjangilvvuin heive 	várra 	buorebut njuorju veaháš ovddabeal , leaikastallá Samiradio ¶
Liikká ledjen gal 	várra 	veahá doaivvas , lohká Skániha sátnejođiheaddji Svein Berg Harstad aviisi . ¶
GONAGAS VÁRRA?:Lea go Kollstrøm maŋisbohttiin Therese Kollstrøm Ingebrigstenis ja Ruth Bøyumas Deanus ránska gonagasa Ludvig Filip 	várra 	? ¶
Muhto jos muitalusaide jáhkit , de dalle han Kollstrøm bearrašis lea ránska gonagasa 	várra 	, árvalásttá historikkár Aage Solbakk . ¶
Son imašta go riikamedijat eai eanet beroš áššis , ja 	várra 	danin sápmelaččat dáppe ja erát eai baljjo dovdda Finnmárkkulága . ¶
	Várra 	oamasteaddjit eai leat beroštan das , go árvideamis eará lea deháleabbut . ¶
Muđui 	várra 	mánaguovttos livččii sáhttán roasmmahuvvot garrasit . ¶
	Várra 	lei mánáide dát buorre máŋŋá dán issoras somás ja gelddolaš vásáhusa . ¶
– Máilbmi han rievdá ja mii maid 	várra 	doaivumis rievdat . ¶
– Mun ja 	várra 	ollusat vásihedje ahte juoga goitot dát OG doalut adde sámikultuvrii . ¶
Ja doppe leage dát govva váldon , 	várra 	1930-jagiid gaskkamuttos . ¶
Ovddádusbellodaga jođiheaddji maid lei bovdejuvvon ja seminárasátnestivrejeaddji logai Fredriksena buot unnimus bivnnuheamos olmmájin coahkkinlanjas , ja dat ii lean 	várra 	aibbas boastut . ¶
	Várra 	danne Canoa Quebradas lea veadjetmeahttun doapmat . ¶
	Várra 	cirggáda go Johan Mathis čugge niibbi miesi bealljái . ¶
Gatnjalat maid ribahii čilgejedje 	várra 	bures man garas riidu lei Deanu gielddastivrras odda sámiskuvlla huksema dihte . ¶
Na 	várra 	oidnošgohtet dat juohke geasi maŋŋá go Kanada indiánat leat oahpahan Deanu luossabivdiid goikadit luosa . ¶
Maiddái áibmu lea nuoskiduvvon , ja leage 	várra 	sivvan manne nu olu olbmot jábmet borasdávdii . ¶
Givssideapmi lea bilidan máŋgga olbmo nuorravuođa ja 	várra 	boahtá bilidit ain eambbo čuvvovaš jaggiin . ¶
- Dies 	várra 	oainnat olles Gáresavvona ? ¶
Ii 	várra 	nu imaš go 20 jagi doppe orrun . ¶
- 	Várra 	lea nu ahte muhtumat bilidit buohkaid ovddas ja dat lea hui suddu . ¶
Ja dalle lei dieđus luonddolaš jearrat das gii 	várra 	buot buoremusat diehtá manin olbmot eai gotte luosaid . ¶
It bat don ge livččii náđđon gos lea čoasus , ja dasalassin it 	várra 	livčii don ge háliidan leat moskuslanjas gos lea heajos áibmo . ¶
Son maid deattuha ahte ii 	várra 	livčii šaddan dáiddár jos ii livččii bajásšaddan leastiánalaš birrasis . ¶
Muhto olbmuide 	várra 	ii leat nu suohtas , lohká Balto . ¶
– jus čáhppe ii livžžii mu boktan de gal 	várra 	in livžžii lihkkan , dadja aslat Einar . ¶
Badjel 15 jagi leat suohkanat ožžon giellaruđaid , ja dál lea 	várra 	áigi geahččagoahtit mo ruđaid buoremusat sáhttá geavahit . ¶
Vuoiŋŋašvardin šaddá go várrasuotna vuoiŋŋamaččain luoddana , nu ahte 	várra 	golgá vuoiŋŋamaččaide . ¶
Dás han cirgot 	várra 	, cuozza ja siskkilušat ! ¶
- 	Várra 	lea muhtun beana mii dan lea dáhkan , dadjala Helge . ¶
	Várra 	, gatnjalat ja roassu lea su Iráhka nieguid duššadeame . ¶
– Sii gáddet 	várra 	ahte luohti lea Ipmila sáni vuostá , lohká son . ¶
Livččii gal issoras somá jos buot vuovddašeimmet muhto lea várra váttis dan dahkat , lohká Guttorm ja árvalastá jos vel moadde mánu livččii beassan vuovdit de gal 	várra 	vuorbbit livčče nohkan . ¶
Beasat maid oaidnit boazosápmelaččaid árgabeaivvi njuovadeamis gos 	várra 	lea guovddážis . ¶
Čalbmáičuohcci leage 	várra 	bohccooaivelatna . ¶
Ii leat sápmelaš 	várra 	mus , muhto lean bajásšaddan Leavnnjas . ¶
Rievvárat manne uvssa čađa šleakkain , ja deatnolaš skáidnii iežas nu ahte 	várra 	cirgugođii báŋkobálvvá njieaiga . ¶
	Várra 	iskosiid geažil gávnnahalai deatnolaš báŋkorievvárin . ¶
Helena veallá veahá áigge geažes čiežanuppelot čorvviin sealggis ja julggiin , main sisa golgá 	várra 	. ¶
Ii leat ollu 	várra 	. ¶
Ii mu ráidduin galgga 	várra 	golgat ! ¶
Sin agenda lea 	várra 	bilidit mu vejolašvuođaid válljejuvvot NSR:a presideantta evttohassan , jáhkká Nystad . ¶
Son dovddaha dál ahte lea dan mađe agis politihkkalaš vuogadagas ahte lea 	várra 	áigi loapahisgoahtit doaimmaid . ¶
– Mun in ane dan imašin , Áile Keskitalo han lea Sven Roald lagaš olmmos , ja náitalan su vieljjan , ja dalle lea 	várra 	lunddolaš ahte son doarju Áile . ¶
Ii ge dan bomba lea 	várra 	okta ge vuordán , go Norsk Tipping lei árvvoštallan Pomeranssi olles 102.70 ruvdnui . ¶
- Dát lea eiseváldii beales 	várra 	mearriduvvon politihka vai golgadeapmi Deanus alfárut nohká . ¶
- Mun vuoján gaskkal 15. 000- ja 20. 000 kilomeahtera jahkái ja dat lea 	várra 	seamma ollu go dábálaš olmmoš vuodjá biillain , lohká Sverre . ¶
Danne vurdet 	várra 	buohkat ahte mii álkit dearpat Sámi riikkajoavkku , muhto spábba lea jorbbas ja ii goassige sáhte leat nu sihkar , lohká beaivválaš jođiheaddji Roland Arnquist Umeå IK:s . ¶
Rápmi 	várra 	dagaha ahte boahtte háve ii leat nu álki vajálduhttit rašes joavkku . ¶
Danin 	várra 	dat olmmoš gii lea álgán girječállin lea hálidan govvet čálalaččat daid dovdduid . ¶
Dat lea 	várra 	dat sivva manne mun 1960-logu loahpas válden beanna gihttii ja manne lean doallan dan ovttatmáno badjel 30-jagi . ¶
Ii 	várra 	eadni livčii obba birgen ge go mun maid in máhtán dalle nu bures dárugiela . ¶
Vaikko almmái lei bures cábmohallan , de viegai 	várra 	golggadettiin T-bánii ja váldii sáhtu politistašuvnnii gos son váiddii ášši . ¶
Áiccálaš Ságat lohkki lea maid 	várra 	sihkkarit fuopmán ahte dat seamma Reinås ovdal lea čállán máŋgasiidusaš reportaša iežas lieggariika mátki birra , gos son earret eará lea govven eamidis . ¶
- Mii fuomášeimmet ahte sin biillas lei 	várra 	, ja nu gávnnaimet bierggu , ja de jearahišgođiimet gos biergu boahtá . ¶
- Deaddu livččii lean badjel 26 kilo , muhto roahkastettiin roahkan botkii stuorra várrasuona goadjima gáibbe vuolde ja fatnasii golggai 	várra 	vaikke man olu , Heikki Karpoff muitala . ¶
- Vuigen ahte váibmu coahkkigođii , ja 	várra 	ja adrenaliidna maid lihkastii . ¶
- Muhto dan in jáhke , nie johtilit ii čoaggan 	várra 	. ¶
Sámeskuvllas leat oahppit vuosttaš luohkás gitta joatkkaskuvlla dássái ja dát beaivi lei 	várra 	okta dain hárve beivviin go nu máŋgasat sis ledje čoahkkanan skuvlii oktanaga . ¶
Jus ná joatká de 	várra 	ii dohkke go giddagasas čohkkát , lohká Lukkari Sáme radioi . ¶
Nuppi várrasuonas lei 	várra 	buđđosan . ¶
Siskobeal suona lea leamaš smávva háváš ja 	várra 	johtima geažil lei dat sturron , joatká son . ¶
Váhnemat ja áhkut ja ádját dáide veaháš ballat maid son de earát dasa dadjet go sin mánát cogge sámi biktasiid , vaikko measta juohkehaččas jorai suonain sámi 	várra 	. ¶
	Várra 	johtá buorebut . ¶
Go kristtalaš olbmos lea maid oažži ja 	várra 	, mii oassi olbmos ii leat ođđasit riegádan . ¶
Árbevirolaš ealáhusain eallisámiide , geat leat juoga eallindilis šaddan smiehttat kultuvrraset vuođđoáššiid , nuppástus ii 	várra 	leat oalle stuoris . ¶
go ođđa 	várra 	dárbbašuvvo sámekultuvrii ¶
Lei illu go Sámediggi viimmat ásahuvvui , leimmet 	várra 	ollugat geat doaivvuimet ahte dás dohko Sámi áššitge ožžot buoret siivvu , muhto mii galggaš . ¶
Go buohtastahtášii Sámedikki politihkkára geas dávjá jo lea iežas barggus stuorra dienas , ja dáiddasearvvi jođiheaddji geas ii leat dadjanveara dienas , ja sutno goappatlágan bálkkášumi , de gal 	várra 	haksošgoahtá unohis skuordnavuohta sis geain lea fápmu servodagas . ¶
- Dat lea albma váivašuvvon 	várra 	hádja , mii lea báidnán olles dálu . ¶
Dat ii anit go dievva 	várra 	lea golgán sisa , muitala John Moeng . ¶
Lihkus min bearrašis leaskarovvá doalái goittotge mus viehka buori fuola , 	várra 	danin , go ledjen áidna nieida . ¶
Lea 	várra 	dárbbašlaš plánet buoret dán áigodaga . ¶
Ii fal dakkáriid maid don ovttatmanu jurdilat , muhto sámi « Láhttejeddjiid » Ja dalle han don 	várra 	smiehtastat , mii dat ges lea ? ¶
Ailo jáhkká son lei 	várra 	gáidan eret iežas duogážis . ¶
Neavttárat dihtet ja 	várra 	iešge Olsen diehtá ahte Monologa lea oalle hástalus neavttašit . ¶
-”Na , vuitin 	várra 	” Ungdommens Kulturpris ” danin go mun rahkadan mushikka ja lávlai mat dán áige nuorat liikojit . ¶
- Mun lávlen ” Farsan ” ja maiddái ” Partyjoik ” doppe , lei 	várra 	cajehit ahte sahtan leat hui duohtavas ja maiddái leat veahás mielaheapme . ¶
-”Na , vuitin 	várra 	” Ungdommens Kulturpris ” danin go mun rahkadan mushikka ja lávlai mat dán áige nuorat liikojit . ¶
- Mun lávlen ” Farsan ” ja maiddái ” Partyjoik ” doppe , lei 	várra 	cajehit ahte sahtan leat hui duohtavas ja maiddái leat veahás mielaheapme . ¶
- Leahan mus dadttetge jurdagiin muhtinlágan balut , dego dat mo munno mánná Mihkkal beassá dáppe šaddat ; oažžugo son šaddat dáppe seammaláhkai go dat mánát , geainna lea dáid olbmuid 	várra 	; olgguštuvvogo son , go su sohka lea guhkkin eará guovllus , smiehtada Minna , muhto seammás joatká : ¶
Mii vuodjit suhkkes rođa čađa ja 	várra 	ruohtada suonain . ¶
- Lea okta stuora ášši mii lea boastut duinna ; dus ii leat sámi 	várra 	suonain ! ¶
	Várra 	váilo máhttu sámeservodagas go eai oainne buori áššiid ? ¶
Maid Issát ii diehtán boazodikšumis ja guollebivddus daid , de daid birra 	várra 	eai diehtán earáge olbmot . ¶
Maid Issát ii diehtán boazodikšumis ja guollebivddus daid , de daid birra 	várra 	eai diehtán earáge olbmot . ¶
Dál ii oro ráhkisvuohta ovdáneame , ja don 	várra 	it galggaše nu ollu beroštit das go dan ii daga . ¶
Loahpas vuohtigođiime 	várra 	luottaid ja maiddái livvadan sajiid mas vardá . ¶
Dál ferten ain garraseabbot hárjehallat vai beasan alit dássái , muđui ii leat 	várra 	vejolašvuohta beassat jovkui , logai Martin Nordbye dalá máŋŋá čiekčama . ¶
	Várra 	cirggádii nu ahte mun meanahuvven ja ballájin olggos , muittaša Lea . ¶
Dan botta go Lea lei leamašan olgun de divššui su eadni vielja , ja álggos son dušše giesai livskku juolggi birra , čiekŋalis hávi bokte nu ahte 	várra 	bisánii . ¶
	Várra 	vulggii eret . ¶
Erenoamážit Guovdageainnu bargiguoktá - Elle-Márjá Vars ja Inger Margrethe Olsen - lei 	várra 	somá deaivat . ¶
Sámi Valáštallan Lihttu lea vaháguvvon stuorra háviin máid dál ferte dikšut ovdal go 	várra 	guođđá ja heagga manná . ¶
Sámi Valáštallan Lihttu lea vaháguvvon stuorra háviin máid dál ferte dikšut ovdal 	várra 	guođđá ja heagga manná . ¶
	An Account of the Sami ¶
Ja go boazu lea njuvvon , de 	várra 	váldo bohcco iežas čoavjái . ¶
Ja de váldo veaháš sierra lihttái 	várra 	, mas márfi dahkko , jos lea boazu nu buoidi ahte leat márfebuoiddit . ¶
Ja gal Kaina 	várra 	lea vel dálnai veaháš soames báikkiin , veaháš dakkár bivdoolbmuin , mat sáhttet oktanaga ráhkistit ja vašuhit , iigo dat leat vašši go bidjet firpmiid váriide ja beahceeatnamiidda ? ¶
Das golgá 	várra 	, go dodjet gaskat . ¶
Dat galgá čuoigat nu ahte 	várra 	njálmmis boahtá , ja báhkkana nu ahte ferte ratti rahpat jur rabas . ¶
Ja vaikko olggos 	várra 	cirge dakko gokko luođđa boahtá , muhto go son snelke njálmmiin , de son bisseha vara ja váldá várkka eret . ¶
Ja nubbi : jos ulddat leat su biebmit dálvet , de eai sii fuola šatain go lea suosttuhan olbmo 	várra 	iežas . ¶
Sápmelaččain lea dávjá ratti vuolde vihki , ja dat loktana oaivái ja luoitá julggiide , ja dan vigi dálkkas lea : luito 	várra 	rumašvárrasuonas . ¶
Jiektavihkái maiddá luito 	várra 	. ¶
Muhto váldojuvvo beare moadde vuovtta bajil oaivvis , ja de ravget fáhkkestaga , vai náhkki luovvana luovos , mii lea darvánan gitta , vai beassá 	várra 	golgat su dábálaš lági mielde . ¶
Ja dat galgá jorgalit velá guovtti guvlui , vai cuvke eambbo , ja vai boađále juobe golbma goaikkanasage 	várra 	. ¶
Ja go dat olggos boahtá , de lea nu ruoksat dego 	várra 	. ¶
Muhto gávdnojit gal dakkárat , ahte go ožžot gullat , de juo bisána 	várra 	golgamis , muhto eai dakkárat leat olu . ¶
Ja okta dálkkas čoaskinvihkái lea bohcco ealli 	várra 	, juhkkojuvvo . ¶
Ja jos ii gávdno ealli 	várra 	, de váldo galbma várra ja seaguhuvvo dassážii go šaddá liđbmat dahe fiinnis , ja de juhkkojuvvo jur njuoskkasin . ¶
Ja jos ii gávdno ealli várra , de váldo galbma 	várra 	ja seaguhuvvo dassážii go šaddá liđbmat dahe fiinnis , ja de juhkkojuvvo jur njuoskkasin . ¶
Ealli 	várra 	ii boađe iežá ládje go čuggejuvvo boazu , ja de dakkaviđe váldá lihttái vara ja juhká , jos ii leat skihpa olmmoš dan meare vuoimmis , ahte veadjá mannat ieš bohcco lusa ja juhkat dakkaviđe go várra golggiida . ¶
Ealli várra ii boađe iežá ládje go čuggejuvvo boazu , ja de dakkaviđe váldá lihttái vara ja juhká , jos ii leat skihpa olmmoš dan meare vuoimmis , ahte veadjá mannat ieš bohcco lusa ja juhkat dakkaviđe go 	várra 	golggiida . ¶
Dat bisána 	várra 	dahje dadjet : várra lohppe . ¶
Dat bisána várra dahje dadjet : 	várra 	lohppe . ¶
Ja de das álgá golgat ruođđi dahe 	várra 	eanet go gierdá olmmoš , ja de lea das váralaš , dainna lágiin leat olu jápmán Sámis nissonat , go leat nu hárve dakkárat , geat dihtet dasa ráđi . ¶
Muhtun sámit leat dakkárat , go gulletge , de juo bisána 	várra 	golgamis . ¶
( Čilgehus dasa , manne lea muhtun olbmos dakkár leaves 	várra 	, ahte viggá veaháš šaddat seahkanussii . ¶
Ja son ieš viegai juohke báikki birra geahččame , lea go 	várra 	gokkoge . ¶
Ja 	várra 	golggai čađa loktaláhtti vulos . ¶
Ealli 	várra 	lea dakkár mas muođut ruoksájit valjis vara geažil . ¶
Oktii čullen gieđa , hirbmadit bođii 	várra 	, X ‐ áhkku eará válddii gáfiid . ¶
ahte 	várra 	láhtis . ¶
Olbmot lávejedje rimškalit maid sohkkara hávi ala , dat dollii vara : Ja go 	várra 	golgagođii , ¶
meahcis ládjosajis ja mun čuolastin ja das golggai hirbmosit 	várra 	. ¶
) Jos njunis golggai 	várra 	, galggai gužžat ullui ja bidjat dan ¶
Dat gal lea buorre dálkkas , dat gal ii 	várra 	beasa golgat ja dat álgá savvut . ¶
) Maiddái suohkat , káffe , sohkar ja bohcco 	várra 	 ¶
Olbmos galggai leat nana 	várra 	vai basttii doaibmat noaidin . ¶
Dat lei dieđus dalle dan láhkai , dat galggai bissehit dan láhkai , ahte [ sus , guhte 	várra 	 ¶
Ruoksadin báitá olbmo 	várra 	, go guovssahasain ellet goddon ¶
Váibmu ja 	várra 	leat dan sajit gorudis . ¶
dahje « rumašsiellu » jávká gorudis go 	várra 	luitojuvvo ( Edsman 1994 : 156 ) . ¶
Sámi 	várra 	, moŋgolvárra rávnnjas ain vel suonaid mield . ¶
Sáme 	várra 	, moŋgolvárra rávnnjas ain vel suonaid mield . ¶
Go geahččá Erkke Jovsseha veršuvnna , de vuosttas ja goalmmát garggas son čállá moŋgolsohka // moŋgolsitkes 	várra 	// sitkes sohka . ¶
Málli - 	várra 	. ¶
Málli lea dan suopmanis ealibiid 	várra 	mii geavahuvvo málisteapmái . ¶
ilgadis biebmu go 	várra 	lea olbmos ja ealli eallis . ¶
